time mean_S std_S upper_S lower_S
0.00 0.00 0.00 0.00 0.00
1.00 0.98 0.01 0.99 0.97
2.00 0.96 0.03 0.99 0.93
3.00 0.97 0.02 0.99 0.96
4.00 0.97 0.02 0.99 0.96
5.00 0.94 0.04 0.98 0.90
6.00 0.94 0.06 1.00 0.87
7.00 0.91 0.07 0.98 0.83
8.00 0.92 0.08 1.00 0.85
9.00 0.88 0.07 0.95 0.82
10.00 0.87 0.08 0.95 0.79
11.00 0.88 0.09 0.98 0.79
12.00 0.83 0.11 0.94 0.72
13.00 0.70 0.23 0.93 0.47
14.00 0.71 0.21 0.93 0.50
15.00 0.74 0.13 0.87 0.61
16.00 0.76 0.19 0.95 0.56
17.00 0.76 0.18 0.94 0.58
18.00 0.79 0.17 0.96 0.62
19.00 0.76 0.16 0.93 0.60
20.00 0.81 0.14 0.95 0.67
